Pathway_ID,Pathway_Name,Genes
R-HSA-109581,Apoptosis,"ACIN1,ADD1,ADRM1,AKT1,AKT2,AKT3,APAF1,APC,APIP,APPL1,ARHGAP10,AVEN,BAD,BAK1,BAX,BBC3,BCAP31,BCL2,BCL2L1,BCL2L11,BID,BIRC2,BMF,BMX,C1QBP,CARD8,CASP3,CASP6,CASP7,CASP8,CASP9,CD14,CDH1,CDKN2A,CFLAR,CLSPN,CTNNB1,CYCS,DAPK1,DAPK2,DAPK3,DBNL,DCC,DFFA,DFFB,DIABLO,DNM1L,DSG1,DSG2,DSG3,DSP,DYNLL1,DYNLL2,E2F1,FADD,FAS,FASLG,FNTA,GAS2,GSDMD,GSDME,GSN,GZMB,H1-0,H1-1,H1-2,H1-3,H1-4,H1-5,HMGB1,HMGB2,KPNA1,KPNB1,LMNA,LMNB1,LY96,MAGED1,MAPK1,MAPK3,MAPK8,MAPT,MC159L,NMT1,OCLN,OMA1,OPA1,ORF71,PAK2,PKP1,PLEC,PMAIP1,PPP1R13B,PPP3CC,PPP3R1,PRKCD,PRKCQ,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,PTK2,RIPK1,ROCK1,RPS27A,SATB1,SEM1,SEPTIN4,SFN,SPTAN1,STAT3,STK24,STK26,TFDP1,TFDP2,TICAM1,TICAM2,TJP1,TJP2,TLR4,TNFRSF10A,TNFRSF10B,TNFSF10,TP53,TP53BP2,TP63,TP73,TRADD,TRAF2,UACA,UBA52,UBB,UBC,UNC5A,UNC5B,VIM,XIAP,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ"
R-HSA-109606,Intrinsic Pathway for Apoptosis,"AKT1,AKT2,AKT3,APAF1,APIP,AVEN,BAD,BAK1,BAX,BBC3,BCL2,BCL2L1,BCL2L11,BID,BMF,C1QBP,CARD8,CASP3,CASP7,CASP8,CASP9,CDKN2A,CYCS,DIABLO,DYNLL1,DYNLL2,E2F1,GSDMD,GSDME,GZMB,MAPK1,MAPK3,MAPK8,NMT1,PMAIP1,PPP1R13B,PPP3CC,PPP3R1,SEPTIN4,SFN,STAT3,TFDP1,TFDP2,TP53,TP53BP2,TP63,TP73,UACA,XIAP,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ"
R-HSA-109704,PI3K Cascade,"AKT2,FGF1,FGF10,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FGFR4,FLT3,FLT3LG,FRS2,GAB1,GAB2,GRB2,IRS1,IRS2,KL,KLB,PDE3B,PDPK1,PIK3C3,PIK3CA,PIK3CB,PIK3R1,PIK3R2,PIK3R4,PTPN11,THEM4,TLR9,TRIB3"
R-HSA-110312,Translesion synthesis by REV1,"MAD2L2,PCNA,REV1,REV3L,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPA2,RPA3,RPS27A,UBA52,UBB,UBC"
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,"ISG15,MAD2L2,NPLOC4,PCLAF,PCNA,POLD1,POLD2,POLD3,POLD4,POLE,POLE2,POLE3,POLE4,POLH,POLI,POLK,RCHY1,REV1,REV3L,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPA2,RPA3,RPS27A,SPRTN,TRIM25,UBA52,UBA7,UBB,UBC,UBE2L6,UFD1,USP10,USP43,VCP"
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,"CUL4A,CUL4B,DDB1,DTL,PCNA,POLD1,POLD2,POLD3,POLD4,POLE,POLE2,POLE3,POLE4,RAD18,RBX1,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPA2,RPA3,RPS27A,UBA52,UBB,UBC,UBE2B,USP1,WDR48"
R-HSA-110320,Translesion Synthesis by POLH,"NPLOC4,PCNA,POLH,RCHY1,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPA2,RPA3,RPS27A,SPRTN,UBA52,UBB,UBC,UFD1,VCP"
R-HSA-110328,Recognition and association of DNA glycosylase with site containing an affected pyrimidine,"ACD,H2AB1,H2AC14,H2AC18,H2AC20,H2AC4,H2AC6,H2AC7,H2AJ,H2AX,H2AZ2,H2BC1,H2BC11,H2BC12,H2BC12L,H2BC13,H2BC14,H2BC15,H2BC17,H2BC21,H2BC26,H2BC3,H2BC4,H2BC5,H2BC9,H3-4,H4C1,MBD4,NEIL1,NEIL2,NEIL3,NTHL1,OGG1,POT1,SMUG1,TDG,TERF1,TERF2,TERF2IP,TINF2,UNG"
R-HSA-110330,Recognition and association of DNA glycosylase with site containing an affected purine,"ACD,H2AB1,H2AC14,H2AC18,H2AC20,H2AC4,H2AC6,H2AC7,H2AJ,H2AX,H2AZ2,H2BC1,H2BC11,H2BC12,H2BC12L,H2BC13,H2BC14,H2BC15,H2BC17,H2BC21,H2BC26,H2BC3,H2BC4,H2BC5,H2BC9,H3-4,H4C1,MPG,MUTYH,NEIL3,OGG1,POT1,TERF1,TERF2,TERF2IP,TINF2"
R-HSA-110373,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,"ADPRS,APEX1,FEN1,LIG1,PARG,PARP1,PARP2,PCNA,POLB,POLD1,POLD2,POLD3,POLD4,POLE,POLE2,POLE3,POLE4,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPA2,RPA3"
