slug,venue,title,github_repo,all_github_repos,repo_status
0m4VsLwj5s,ICML 2025 poster,sciLaMA: A Single-Cell Representation Learning Framework to Leverage Prior Knowledge from Large Language Models,https://github.com/microsoft/sciLaMA,https://github.com/microsoft/sciLaMA,live
10.1609_aaai.v38i1.27753,Proceedings of the AAAI Conference on Artificial Intelligence,Neural Embeddings for kNN Search in Biological Sequence,https://github.com/Proudc/Bio-KNN,https://github.com/Proudc/Bio-KNN,live
10.1609_aaai.v38i1.27770,Proceedings of the AAAI Conference on Artificial Intelligence,Improving PTM Site Prediction by Coupling of Multi-Granularity Structure and Multi-Scale Sequence Representation,,,
10.1609_aaai.v38i1.27784,Proceedings of the AAAI Conference on Artificial Intelligence,PSC-CPI: Multi-Scale Protein Sequence-Structure Contrasting for Efficient and Generalizable Compound-Protein Interaction Prediction,https://github.com/LirongWu/PSC-CPI,https://github.com/LirongWu/PSC-CPI,live
10.1609_aaai.v38i1.27789,Proceedings of the AAAI Conference on Artificial Intelligence,Unsupervised Gene-Cell Collective Representation Learning with Optimal Transport,,,
10.1609_aaai.v38i1.27792,Proceedings of the AAAI Conference on Artificial Intelligence,Designing Biological Sequences without Prior Knowledge Using Evolutionary Reinforcement Learning,https://github.com/reset001/ERLBioSeqappendix,https://github.com/reset001/ERLBioSeqappendix,live
10.1609_aaai.v38i10.28948,Proceedings of the AAAI Conference on Artificial Intelligence,Prot2Text: Multimodal Protein’s Function Generation with GNNs and Transformers,https://github.com/hadi-abdine/Prot2Text,https://github.com/hadi-abdine/Prot2Text,live
10.1609_aaai.v38i10.28988,Proceedings of the AAAI Conference on Artificial Intelligence,HyperFast: Instant Classification for Tabular Data,https://github.com/AI-sandbox/HyperFast,https://github.com/AI-sandbox/HyperFast,live
10.1609_aaai.v38i12.29248,Proceedings of the AAAI Conference on Artificial Intelligence,GxVAEs: Two Joint VAEs Generate Hit Molecules from Gene Expression Profiles,https://github.com/naruto7283/GxVAEs,https://github.com/naruto7283/GxVAEs,live
10.1609_aaai.v38i13.29386,Proceedings of the AAAI Conference on Artificial Intelligence,Tree Search-Based Evolutionary Bandits for Protein Sequence Optimization,,,
10.1609_aaai.v38i14.29453,Proceedings of the AAAI Conference on Artificial Intelligence,Comprehensive View Embedding Learning for Single-Cell Multimodal Integration,https://github.com/shapsider/scintegration,https://github.com/shapsider/scintegration,live
10.1609_aaai.v38i14.29509,Proceedings of the AAAI Conference on Artificial Intelligence,Levenshtein Distance Embedding with Poisson Regression for DNA Storage,,,
10.1609_aaai.v38i2.27874,Proceedings of the AAAI Conference on Artificial Intelligence,Multi-Prototype Space Learning for Commonsense-Based Scene Graph Generation,,,
10.1609_aaai.v38i21.30446,Proceedings of the AAAI Conference on Artificial Intelligence,Enhancing Transcription Factor Prediction through Multi-Task Learning (Student Abstract),,,
10.1609_aaai.v38i21.30533,Proceedings of the AAAI Conference on Artificial Intelligence,Leverage the Explainability of Transformer Models to Improve the DNA 5-Methylcytosine Identification (Student Abstract),,,
10.1609_aaai.v38i3.28044,Proceedings of the AAAI Conference on Artificial Intelligence,CrossBind: Collaborative Cross-Modal Identification of Protein Nucleic-Acid-Binding Residues,https://github.com/BEAM-Labs/CrossBind,https://github.com/BEAM-Labs/CrossBind,live
10.1609_aaai.v38i9.28924,Proceedings of the AAAI Conference on Artificial Intelligence,Knowledge Enhanced Representation Learning for Drug Discovery,https://github.com/IBM/otter-knowledge,https://github.com/IBM/otter-knowledge;https://github.com/KarypisLab/METIS,live
10.1609_aaai.v39i1.31989,Proceedings of the AAAI Conference on Artificial Intelligence,Improving Cancer Gene Prediction by Enhancing Common Information Between the PPI Network and Gene Functional Association,https://github.com/CharlesDeng0814/DISFusion,https://github.com/CharlesDeng0814/DISFusion,live
10.1609_aaai.v39i1.31998,Proceedings of the AAAI Conference on Artificial Intelligence,FoldToken: Learning Protein Language via Vector Quantization and Beyond,,,
10.1609_aaai.v39i1.32001,Proceedings of the AAAI Conference on Artificial Intelligence,CoPRA: Bridging Cross-domain Pretrained Sequence Models with Complex Structures for Protein-RNA Binding Affinity Prediction,https://github.com/hanrthu/CoPRA,https://github.com/hanrthu/CoPRA,live
10.1609_aaai.v39i1.32025,Proceedings of the AAAI Conference on Artificial Intelligence,Whole Genome Transformer for Gene Interaction Effects in Microbiome Habitat Specificity,https://github.com/zhufengli/prokaformer,https://github.com/zhufengli/prokaformer,live
10.1609_aaai.v39i1.32030,Proceedings of the AAAI Conference on Artificial Intelligence,Controllable Protein Sequence Generation with LLM Preference Optimization,https://github.com/nju-websoft/CtrlProt,https://github.com/nju-websoft/CtrlProt,live
10.1609_aaai.v39i1.32043,Proceedings of the AAAI Conference on Artificial Intelligence,GoBERT: Gene Ontology Graph Informed BERT for Universal Gene Function Prediction,,,
10.1609_aaai.v39i1.32049,Proceedings of the AAAI Conference on Artificial Intelligence,A Simple and Comprehensive Benchmark for Single-Cell Transcriptomics,https://github.com/simpleshinobu/scbenchmark,https://github.com/simpleshinobu/scbenchmark,live
10.1609_aaai.v39i1.32080,Proceedings of the AAAI Conference on Artificial Intelligence,PriFold: Biological Priors Improve RNA Secondary Structure Predictions,https://github.com/BEAM-Labs/PriFold,https://github.com/BEAM-Labs/PriFold,live
10.1609_aaai.v39i1.32086,Proceedings of the AAAI Conference on Artificial Intelligence,Accurate Nucleic Acid-Binding Residue Identification Based Domain-Adaptive Protein Language Model and Explainable Geometric Deep Learning,https://github.com/pengsl-lab/GeSite,https://github.com/pengsl-lab/GeSite,live
