rank,gene,importance,recursion_depth
1,ABCC12,1.0,2.021
2,ABCC5,1.0,1.725
3,ADAM12,1.0,1.685
4,ADAMTS14,1.0,3.853
5,ADAMTSL3,1.0,1.667
6,ADCY5,1.0,1.040
7,ADRB1,1.0,2.245
8,AFP,1.0,3.891
9,AGR2,1.0,3.736
10,AIM1L,1.0,2.547
11,AKR7A3,1.0,1.252
12,ALDH1A1,1.0,3.348
13,ALDH3A1,1.0,2.623
14,ANGPTL7,1.0,2.577
15,ANKRD1,1.0,2.981
16,ANKRD2,1.0,4.000
17,ANPEP,1.0,3.356
18,APOB,1.0,2.790
19,APOH,1.0,3.583
20,ARHGEF38,1.0,3.369
21,ART4,1.0,1.738
22,AURKB,1.0,2.719
23,BANK1,1.0,3.421
24,BARX1,1.0,2.671
25,BDKRB1,1.0,1.319
26,BIK,1.0,2.795
27,BRSK2,1.0,2.713
28,BTNL9,1.0,3.076
29,C10orf90,1.0,2.690
30,C1QL4,1.0,2.906
31,C21orf29,1.0,1.914
32,C2CD4C,1.0,1.969
33,C6orf138,1.0,2.126
34,C8orf46,1.0,2.541
35,C9orf169,1.0,3.837
36,CADM3,1.0,1.966
37,CALN1,1.0,1.681
38,CAMP,1.0,2.484
39,CCL23,1.0,3.939
40,CCL7,1.0,3.382
41,CCND2,1.0,3.551
42,CDK5R2,1.0,1.348
43,CENPF,1.0,3.304
44,CES1,1.0,3.828
45,CFI,1.0,3.742
46,CHRD,1.0,1.239
47,CHRNA4,1.0,2.174
48,CHST2,1.0,1.935
49,CITED1,1.0,1.344
50,CLEC3A,1.0,1.430
51,CLGN,1.0,2.113
52,CMYA5,1.0,2.679
53,CNGB3,1.0,3.985
54,COL19A1,1.0,2.386
55,COL4A4,1.0,1.623
56,COL8A1,1.0,1.736
57,CPXM2,1.0,3.147
58,CX3CR1,1.0,1.759
59,CXCL14,1.0,3.916
60,CXorf49B,1.0,2.147
61,CYP21A2,1.0,3.061
62,DAPK2,1.0,1.803
63,DIRAS2,1.0,1.264
64,DKFZp434J0226,1.0,3.895
65,DNAJC12,1.0,1.755
66,DSC1,1.0,3.402
67,DSC2,1.0,2.568
68,DUSP26,1.0,3.507
69,E2F8,1.0,3.254
70,EDAR,1.0,3.746
71,ENPP1,1.0,2.530
72,EOMES,1.0,3.839
73,EPCAM,1.0,3.799
74,EPHB1,1.0,3.530
75,ERP27,1.0,2.950
76,ESR1,1.0,3.348
77,ETV4,1.0,3.205
78,FAM153A,1.0,1.824
79,FCER1A,1.0,1.707
80,FCRL2,1.0,3.293
81,FGF13,1.0,2.920
82,FGF2,1.0,3.268
83,FLJ40330,1.0,3.111
84,FLNC,1.0,3.432
85,FREM1,1.0,1.711
86,FSD1,1.0,2.264
87,GABRQ,1.0,2.702
88,GALNTL1,1.0,2.874
89,GALNTL2,1.0,2.648
90,GGTLC1,1.0,3.342
91,GJB7,1.0,2.061
92,GKN2,1.0,3.981
93,GLP1R,1.0,2.033
94,GLS2,1.0,3.511
95,GNMT,1.0,1.535
96,GOLGA8A,1.0,3.780
97,GPC5,1.0,2.654
98,GPR37,1.0,2.419
99,GPRC5C,1.0,2.641
100,GRB14,1.0,2.447
101,GSDMA,1.0,2.560
102,HAL,1.0,4.000
103,HCN4,1.0,1.505
104,HEPACAM2,1.0,2.340
105,HEPN1,1.0,1.862
106,HIF3A,1.0,2.937
107,HLA-G,1.0,1.681
108,HS6ST3,1.0,3.356
109,IL1A,1.0,4.000
110,IL1R2,1.0,3.403
111,IL6,1.0,3.707
112,ISL2,1.0,3.793
113,ITGA9,1.0,3.528
114,ITIH2,1.0,3.958
115,JPH2,1.0,1.860
116,KANK4,1.0,2.815
117,KCNA3,1.0,3.480
118,KCNK15,1.0,3.382
119,KCNK7,1.0,2.895
120,KDM5D,1.0,2.566
121,KIF18B,1.0,2.033
122,KIF5C,1.0,3.356
123,KLK3,1.0,3.778
124,KRT17,1.0,2.935
125,KRT6B,1.0,1.164
126,KRT83,1.0,2.652
127,L3MBTL4,1.0,1.057
128,LAMC2,1.0,3.665
129,LAMC3,1.0,3.719
130,LCN6,1.0,1.908
131,LGALS4,1.0,1.356
132,LGI3,1.0,3.168
133,LGSN,1.0,3.962
134,LIPE,1.0,1.954
135,LMOD1,1.0,2.338
136,LOC100190938,1.0,1.065
137,LOC286467,1.0,3.746
138,LOC440173,1.0,4.000
139,LRP4,1.0,1.908
140,LRRC6,1.0,1.537
141,LRRN3,1.0,3.019
142,LUZP2,1.0,2.002
143,MAL,1.0,1.828
144,MAPK10,1.0,3.266
145,MEG3,1.0,1.728
146,MEOX2,1.0,1.354
147,MSC,1.0,2.669
148,MT1A,1.0,1.463
149,MT1F,1.0,1.319
150,MYO1G,1.0,1.859
151,MYOCD,1.0,2.893
152,MYOZ2,1.0,1.000
153,NALCN,1.0,2.935
154,NAP1L2,1.0,2.386
155,NAP1L6,1.0,2.780
156,NEB,1.0,2.616
157,NEIL3,1.0,3.180
158,NEU4,1.0,2.499
159,NLRP5,1.0,1.985
160,NMUR1,1.0,3.476
161,NTN4,1.0,2.983
162,NXPH3,1.0,3.920
163,OBP2A,1.0,2.990
164,OCA2,1.0,2.807
165,PADI3,1.0,3.966
166,PAX5,1.0,2.837
167,PAX9,1.0,3.402
168,PCDHGC5,1.0,3.558
169,PEBP4,1.0,1.470
170,PHGR1,1.0,3.713
171,PLAC1,1.0,4.000
172,PLAG1,1.0,1.163
173,PLEKHG7,1.0,3.237
174,POMC,1.0,3.990
175,PON1,1.0,3.958
176,PON3,1.0,2.025
177,PPAN-P2RY11,1.0,1.585
178,PPFIA4,1.0,2.704
179,PRG4,1.0,2.600
180,PROX1,1.0,2.883
181,PTGIS,1.0,3.650
182,PTPRQ,1.0,1.952
183,PTPRZ1,1.0,2.847
184,PYCR1,1.0,3.505
185,RAB27B,1.0,3.086
186,RBP5,1.0,3.946
187,RNF212,1.0,3.151
188,ROBO2,1.0,3.728
189,ROPN1,1.0,3.235
190,ROS1,1.0,3.971
191,RPS27,1.0,2.377
192,RTKN2,1.0,1.004
193,RTN1,1.0,3.128
194,RUNX1T1,1.0,1.954
195,RXFP1,1.0,3.868
196,S100A14,1.0,3.581
197,SALL4,1.0,1.373
