rank,feature,score,selected,recursion_depth
1,ADAM12,42.577805,1,1.6845
2,IL1R2,42.178761,1,3.4034
3,SLC6A2,41.959396,1,1.195
4,SRMS,41.933857,1,2.8891
5,MEG3,41.68251,1,1.7285
6,CADM3,41.625595,1,1.9656
7,CES1,41.441868,1,3.8279
8,MT1F,40.634682,1,1.3193
9,RXFP1,40.146828,1,3.8681
10,HEPN1,39.65168,1,1.8623
11,RBP5,39.398224,1,3.9465
12,DKFZp434J0226,39.374252,1,3.8948
13,C8orf46,39.297436,1,2.5411
14,FAM153A,39.274319,1,1.8241
15,SFTPB,39.170944,1,2.0229
16,ARHGEF38,39.105858,1,3.369
17,UNC93A,38.989639,1,3.8662
18,ETV4,38.805515,1,3.2046
19,CXorf49B,38.395565,1,2.1472
20,CCL23,38.278599,1,3.9388
21,NMUR1,38.249008,1,3.4761
22,SRPX2,38.150108,1,3.673
23,LCN6,38.014492,1,1.9082
24,CYP21A2,38.010098,1,3.0612
25,UNC5D,37.975147,1,2.6979
26,DSC2,37.911926,1,2.5679
27,FGF13,37.837242,1,2.9197
28,CHRNA4,37.781471,1,2.174
29,BARX1,37.757252,1,2.6711
30,CPXM2,37.751911,1,3.1472
31,TMEM26,37.746204,1,2.392
32,PCDHGC5,37.670586,1,3.5583
33,SAMD13,37.640686,1,1.7514
34,LGALS4,37.561714,1,1.3556
35,KANK4,37.522747,1,2.8145
36,MT1A,37.469578,1,1.4627
37,ADAMTS14,37.144657,1,3.8528
38,PAX5,37.041092,1,2.8375
39,KIF5C,37.022823,1,3.3556
40,FCRL2,36.940849,1,3.2925
41,KCNK15,36.882168,1,3.3824
42,SLC26A9,36.8694,1,3.9962
43,BIK,36.800453,1,2.7954
44,TMEM232,36.792034,1,1.109
45,GRB14,36.729389,1,2.4474
46,UGT3A2,36.591206,1,3.8547
47,TTC39A,36.561935,1,2.9522
48,NLRP5,36.512505,1,1.9847
49,BDKRB1,36.501499,1,1.3193
50,COL8A1,36.486122,1,1.7361
51,LRRC6,36.456482,1,1.5373
52,PTPRZ1,36.455811,1,2.847
53,TMSB4Y,36.440201,1,2.8757
54,AKR7A3,36.281883,1,1.2524
55,TDRD12,36.252003,1,1.2027
56,ULBP1,36.15052,1,3.8222
57,DNAJC12,36.127495,1,1.7553
58,LGSN,36.111115,1,3.9618
59,HIF3A,36.104122,1,2.9369
60,C1QL4,36.090786,1,2.9063
61,AIM1L,36.073032,1,2.5468
62,PPFIA4,35.984333,1,2.7036
63,FGF2,35.976128,1,3.2677
64,NALCN,35.971645,1,2.935
65,LOC440173,35.969421,1,4.0
66,KRT83,35.965771,1,2.652
67,MYOCD,35.843658,1,2.8929
68,LUZP2,35.825836,1,2.0019
69,LOC100190938,35.706177,1,1.065
70,SNORD116-28,35.695965,1,1.5488
71,ZBTB16,35.691093,1,2.7304
72,ALDH3A1,35.688892,1,2.6233
73,PLEKHG7,35.658291,1,3.2371
74,SHISA2,35.631153,1,1.0421
75,PON3,35.609093,1,2.0249
76,ZNF883,35.56147,1,3.5621
77,PON1,35.554905,1,3.9579
78,PRG4,35.549034,1,2.6004
79,PLAG1,35.48457,1,1.1625
80,MSC,35.418617,1,2.6692
81,KIF18B,35.341885,1,2.0325
82,SORCS2,35.286377,1,1.566
83,VWA3A,35.274048,1,3.6233
84,FCER1A,35.203861,1,1.7075
85,CMYA5,35.20237,1,2.6788
86,CHRD,35.160904,1,1.239
87,ROBO2,35.137409,1,3.7285
88,DSC1,35.096455,1,3.4015
89,ANKRD1,35.022335,1,2.9809
90,SCN8A,34.99115,1,3.3098
91,XIRP2,34.961399,1,3.9732
92,SLC16A6,34.924953,1,3.5621
93,AGR2,34.914986,1,3.7361
94,MAPK10,34.855827,1,3.2658
95,GKN2,34.854786,1,3.9809
96,PADI3,34.8246,1,3.9656
97,EOMES,34.794411,1,3.8394
98,SFRP5,34.703857,1,4.0
99,RTKN2,34.639488,1,1.0038
100,NEB,34.58321,1,2.6157
101,ART4,34.533375,1,1.738
102,DUSP26,34.53186,1,3.5067
103,LOC286467,34.526882,1,3.7457
104,WFDC3,34.492039,1,1.4608
105,RUNX1T1,34.46777,1,1.9541
106,CDK5R2,34.448456,1,1.348
107,SLC29A4,34.416527,1,1.1683
108,LMOD1,34.396877,1,2.3384
109,JPH2,34.38969,1,1.8604
110,HCN4,34.356003,1,1.5048
111,ANGPTL7,34.355522,1,2.5774
112,TMEM163,34.338451,1,3.2428
113,GLS2,34.320045,1,3.5105
114,C2CD4C,34.213165,1,1.9694
115,HEPACAM2,34.212307,1,2.3403
116,ADAMTSL3,34.196796,1,1.6673
117,HAL,34.158089,1,4.0
118,UPF0639,34.154091,1,1.935
119,KCNK7,34.0825,1,2.8948
120,TESC,34.026699,1,3.9178
121,COL19A1,34.017296,1,2.3862
122,CLEC3A,33.869675,1,1.4302
123,LIPE,33.838142,1,1.9541
124,PLAC1,33.796803,1,4.0
125,SOX11,33.756893,1,3.7686
126,GSDMA,33.750809,1,2.5602
127,NAP1L6,33.734322,1,2.7801
128,LRRN3,33.699318,1,3.0191
129,GALNTL1,33.699062,1,2.8738
130,FSD1,33.660812,1,2.2639
131,PPAN-P2RY11,33.657112,1,1.5851
132,GOLGA8A,33.578506,1,3.7801
133,ENPP1,33.57296,1,2.5296
134,DIRAS2,33.557442,1,1.2639
135,NAP1L2,33.551434,1,2.3862
136,NEIL3,33.510578,1,3.1797
137,GLP1R,33.500134,1,2.0325
138,ERP27,33.495312,1,2.9503
139,FLNC,33.436775,1,3.4321
140,GABRQ,33.431469,1,2.7017
141,BANK1,33.418449,1,3.4207
142,TRAT1,33.39336,1,3.1568
143,GALNTL2,33.35302,1,2.6482
144,SLC6A3,33.344917,1,3.7744
145,SPERT,33.331936,1,3.2658
146,PYCR1,33.316986,1,3.5048
147,GNMT,33.306709,1,1.5354
148,ESR1,33.274475,1,3.348
149,PHGR1,33.226685,1,3.7132
150,CITED1,33.195229,1,1.3442
151,ALDH1A1,33.179596,1,3.348
152,GJB7,33.12693,1,2.0612
153,RAB27B,33.113449,1,3.086
154,ADRB1,33.105713,1,2.2447
155,CNGB3,33.103683,1,3.9847
156,MYOZ2,33.091568,1,1.0
157,ABCC12,33.086761,1,2.021
158,SULT4A1,33.043148,1,2.2161
159,UGT2B28,32.996246,1,3.4914
160,ANPEP,32.992592,1,3.3556
161,IL1A,32.991112,1,4.0
